productId,description,priceExpiresDate,productBrand,primaryImageUrl,lastChangeDate,creationDate,effectiveDate,category,subCategory,ProductPrice_0_quantityMin,ProductPrice_0_quantityMax,ProductPrice_0_price,ProductPrice_1_quantityMin,ProductPrice_1_quantityMax,ProductPrice_1_price,ProductPrice_2_quantityMin,ProductPrice_2_quantityMax,ProductPrice_2_price,ProductPrice_3_quantityMin,ProductPrice_3_quantityMax,ProductPrice_3_price,colorName,countryOfOrigin,ApparelSize,primaryMaterial,isRushService,fobCity,fobState,fobPostalCode,fobCountry,keywords,url_link,image_url_1,image_url_2,image_url_3,image_url_4,image_url_5,ProductPrice_4_quantityMin,ProductPrice_4_quantityMax,ProductPrice_4_price,product_price,productName,subCategory2,general_category,hexColor,labelSizes,depth,height,width,weight
102655,Unique ballpoint pen distinguished by its fascinating diamond pattern. Smooth touch finish for extra writing comfort,2025-07-31 16:00:00+00:00,XD Connects,http://images.salsify.com/image/upload/s--FuywbOKN--/rtwumqjy3io12dxkjvll.jpg,2025-07-17 21:00:00+00:00,2025-05-06 12:00:00+00:00,2025-05-06 12:00:00+00:00,Ballpoint,Pens,300.0,499.0,1.02,500.0,749.0,0.87,750.0,999.0,0.76,1000.0,,0.73,"['Navy', 'Black', 'White']",CN,,Plastic,False,Lawrence,MA,1843.0,US,['Pen'],https://gemline.com/s/product/x3-pen-smooth-touch/01tTN0000089t2PYAQ,https://images.salsify.com/image/upload/s--8OHdIRtv--/jaesssdf7hp3imiu8srz.jpg,https://images.salsify.com/image/upload/s--FOVYn_Qd--/lgxvlurp2tkluc3clmqs.jpg,https://images.salsify.com/image/upload/s--GN5p_hju--/p6ylqru9jq3bkdez7bva.jpg,https://images.salsify.com/image/upload/s--iHXNYn4A--/qiwesptrwigauylgfpqa.jpg,https://images.salsify.com/image/upload/s--FuywbOKN--/rtwumqjy3io12dxkjvll.jpg,,,,0.73,X3 Pen Smooth Touch,Ballpoint,Office & Writing,"['#000080', '#000000', '#FFFFFF']",,0.39,5.51,0.39,0.06
101699,Our favorite It’s Pop’n Mini Popper combined with candy is a first action take!,2025-07-31 16:00:00+00:00,Gourmet Expressions,http://images.salsify.com/image/upload/s--ZcWKt5Cx--/k1cjo9a8n2wnhmrmlfce.jpg,2025-07-17 21:00:00+00:00,2023-04-05 12:00:00+00:00,2023-04-05 12:00:00+00:00,Popcorn,Food Gifts,40.0,99.0,35.5,100.0,299.0,31.33,300.0,499.0,25.74,500.0,,24.98,['Black'],US,,"Silicone, Cardboard",False,Lawrence,MA,1843.0,US,"['popcorn popper', 'popcorn', 'popper', 'silicone', 'gummy bears', 'food', 'gift set', 'peanut crunch', 'twizzlers', 'gift box', 'popcorn', 'pop star', 'movies', 'snakcs']",https://gemline.com/s/product/pop-culture-gourmet-gift-set/01t6Q0000070VtMQAU,https://images.salsify.com/image/upload/s--RID0Vfxc--/dkgte5mcneteaqusxb2j.jpg,https://images.salsify.com/image/upload/s--ZcWKt5Cx--/k1cjo9a8n2wnhmrmlfce.jpg,https://images.salsify.com/image/upload/s--GN5p_hju--/p6ylqru9jq3bkdez7bva.jpg,,,,,,24.98,Pop Culture Gourmet Gift Set,Gift Set,Gifts & Novelty,['#000000'],,13.0,9.0,3.75,3.0
60235,Plastic Stemless Wine Glass made from BPA-free Eastman Tritan™ copolyester,2025-07-31 16:00:00+00:00,Gemline,http://images.salsify.com/image/upload/s--5CZLSdnb--/82d810a26a33e8df80961705b641a6c4cafa1586.jpg,2025-07-17 21:00:00+00:00,2018-04-01 12:00:00+00:00,2018-04-01 12:00:00+00:00,Drinking,Glasses,60.0,99.0,13.87,100.0,299.0,11.89,300.0,999.0,10.38,1000.0,,9.98,['Clear'],CN,,Eastman Tritan™ Copolyester,True,Lawrence,MA,1843.0,US,"['frosted ink', 'Soiree', 'tritan', 'glass', 'wine', '16 ounce', 'bpa-free', 'eastman tritan', 'glossy', 'clear', 'see-through', 'durable', 'shatterproof', 'bar', 'outdoor', 'picnic', 'party', 'entertaining', 'drinking', 'sipping', 'tritan', 'stemless', 'wine', 'dishwasher safe', 'PVC free', 'B Corp']",https://gemline.com/s/product/soir%C3%A9e-tritan-stemless-wine-glass-16-oz/01t3t000005831DAAQ,https://images.salsify.com/image/upload/s--LRRbl5pK--/3c5a5d36f7afc5b847ac43a85bba63f90d42bbe0.jpg,https://images.salsify.com/image/upload/s--5CZLSdnb--/82d810a26a33e8df80961705b641a6c4cafa1586.jpg,https://images.salsify.com/image/upload/s--YUwZrK8P--/e1cb00f9c79b997eec04bb3c99152df20354bda1.jpg,,,,,,9.98,Soir√©e Tritan‚Ñ¢ Stemless Wine Glass - 16 Oz.,Wine Glass,Drinkware,['#FFFFFF'],,,,,
100965,"Built with an eye toward sustainability using high-quality bluesign®-approved recycled fabrics, GRS-certified recycled nylon and a PFC-free DWR coating",2025-07-31 16:00:00+00:00,Osprey,http://images.salsify.com/image/upload/s--5cZYdvn1--/pbb20ecmjcpmaxsmqc3u.jpg,2025-07-17 21:00:00+00:00,2021-09-08 12:00:00+00:00,2021-09-08 12:00:00+00:00,,Backpacks,8.0,24.0,98.37,25.0,49.0,92.8,50.0,99.0,88.38,100.0,,84.98,"['Black', 'Tan Concrete', 'Night Shift Blue']",VN,,"bluesign® Approved 300D/600D Recycled Polyester, PFC-free DWR",True,Lawrence,MA,1843.0,US,"['Osprey', 'osprey', 'daylite', 'daylite plus', 'pack', 'backpack', 'recycled', 'travel', 'outdoors', 'hiking', 'osprey backpack', 'hydration reservoir', 'everyday', 'PVC free']",https://gemline.com/s/product/osprey-dayliteplus/01t3t000005psVVAAY,https://images.salsify.com/image/upload/s--113D_uhu--/agfnipzgdktefmp6ciby.jpg,https://images.salsify.com/image/upload/s--A0ARSr8O--/fw7zkmcig1eoxahvqw0x.jpg,https://images.salsify.com/image/upload/s--v0zs6CFR--/inadospr6xqiyjqlrdxe.jpg,https://images.salsify.com/image/upload/s--neE05MeV--/ixqrlls5p6dtoc7kzgxr.jpg,https://images.salsify.com/image/upload/s--achljG4e--/jgi6tklhfyh5w9kbz5ba.jpg,,,,84.98,Osprey Daylite¬Æ¬†Plus,Standard,Bags & Travel,"['#000000', '#D2B48C', '#00008B']",,11.02,18.9,9.45,1.47
101660,"Designed to keep the contents of your pack organized and bone dry, Osprey’s Dry Sacks provide the security of waterproof gear storage and organization for optimized packing. Roll top waterproof closure. Waterproof coated fabric and seams. Backed by Osprey’s All Mighty Guarantee.",2025-07-31 16:00:00+00:00,Osprey,http://images.salsify.com/image/upload/s--AEegWaY2--/nrqbnnmhzbsixostuewt.jpg,2025-07-17 21:00:00+00:00,2023-01-05 13:00:00+00:00,2023-01-05 13:00:00+00:00,,Bags,20.0,49.0,33.55,50.0,99.0,31.65,100.0,299.0,30.14,300.0,,28.98,['Black'],VN,,bluesign® approved 40D recycled high tenacity ripstop nylon,True,Lawrence,MA,1843.0,US,"['osprey', 'outdoors', 'dry sack', 'camping', 'hiking', 'waterproof', 'nylon', 'roll top', 'organized', 'recycled', 'PVC Free', 'dry pack']",https://gemline.com/s/product/osprey-ultralight-dry-sack-12l/01t6Q000006Ib4OQAS,https://images.salsify.com/image/upload/s--j_jW0ddC--/acenbayvmiqiyywj6qrz.jpg,https://images.salsify.com/image/upload/s--Bu8-ZxVe--/mtyqdivotf9o9z36kfqa.jpg,https://images.salsify.com/image/upload/s--AEegWaY2--/nrqbnnmhzbsixostuewt.jpg,https://images.salsify.com/image/upload/s--QGSpMWuw--/zqg8zmf2ylxduiwptzmy.jpg,,,,,28.98,Osprey Ultralight Dry Sack 12L,Dry Sack,Bags & Travel,['#000000'],,8.66,13.78,6.69,0.1
95050,"Don't embark on your next travel adventure without identifying your bag with the Samsonite luggage tag! This essential accessory measures 3.5 x 2.25 x 0.13 and is made of stainless steel for lasting durability. It has a unique slide feature that retracts to reveal your information, and it has a metal cord with a twist closure to secure it to bags or straps. Customize with an imprint for maximum brand exposure on a product that will travel the world!",2025-07-31 16:00:00+00:00,Samsonite,http://images.salsify.com/image/upload/s--EnSGiZBY--/7a827206907598ee1ab690fca6729a63f98904c3.jpg,2025-07-17 21:00:00+00:00,2016-05-01 12:00:00+00:00,2016-05-01 12:00:00+00:00,,Luggage Tags,50.0,99.0,16.65,100.0,299.0,14.28,300.0,999.0,12.46,1000.0,,11.98,['Silver'],CN,,Stainless Steel,True,Lawrence,MA,1843.0,US,"['samsonite', 'luggage', 'tag', 'travel', 'travel accessories', 'brands', 'brand', 'business gift', 'travel gift', 'ID', 'identification', 'twist closure', 'luggage accessory', 'airport', 'baggage', 'stainless steel', 'name plate', 'travelling', 'traveling', 'PVC free']",https://gemline.com/s/product/samsonite-hardside-travel-golf-bag-with-luggage-tag/01tTN000007NeFIYA0,https://images.salsify.com/image/upload/s--EnSGiZBY--/7a827206907598ee1ab690fca6729a63f98904c3.jpg,https://images.salsify.com/image/upload/s--trvIpvCH--/c6728664e56ef09888474a973af1cb786c32f85b.jpg,,,,,,,11.98,Samsonite Luggage Tag,Standard,Bags & Travel,['#C0C0C0'],,,,,
102289,Stay organized and hands-free with the Rally Recycled ID Pouch Lanyard,2025-07-31 16:00:00+00:00,Gemline,http://images.salsify.com/image/upload/s--W0rEXEqt--/sol37djxvfbt8c1w4hrr.jpg,2025-07-17 21:00:00+00:00,2025-04-09 12:00:00+00:00,2025-04-09 12:00:00+00:00,,Lanyards,100.0,299.0,6.92,300.0,599.0,5.94,600.0,999.0,5.18,1000.0,,4.98,"['Navy', 'Black', 'Royal Blue', 'Red']",CN,,600D rPET,True,Lawrence,MA,1843.0,US,"['Lanyard', 'pouch', 'rally', 'b corp']",https://gemline.com/s/product/rally-recycled-id-pouch-lanyard/01tTN000007NdpVYAS,https://images.salsify.com/image/upload/s--K_2myb2---/b9iakbpbvimql2rhjeie.jpg,https://images.salsify.com/image/upload/s--3Q4yokjV--/fppldcpx5bwnspvwmrnv.jpg,https://images.salsify.com/image/upload/s--185AudFD--/jfl2srcckrfn1mfcrubt.jpg,https://images.salsify.com/image/upload/s--5GkLE5mE--/l6qbydv6boptmqtpvpyu.jpg,https://images.salsify.com/image/upload/s--W0rEXEqt--/sol37djxvfbt8c1w4hrr.jpg,,,,4.98,Rally Recycled ID Pouch Lanyard,Pouch,Office & Writing,"['#000080', '#000000', '#4169E1', '#FF0000']",,4.0,5.5,5.0,0.12
101252,Keep all your workday hydration needs cold with the Heritage Supply PRO Jug - 44 Oz. The Heritage Supply PRO collection features durable and functional products specifically built for the tradesperson. Double-walled and vacuum-insulated design keeps contents cold throughout the day.,2025-07-31 16:00:00+00:00,Heritage Supply Pro,http://images.salsify.com/image/upload/s--JvFanGQF--/hjjozjcrbgi1psn17s46.jpg,2025-07-17 21:00:00+00:00,2022-09-06 12:00:00+00:00,2022-09-06 12:00:00+00:00,,Jugs,20.0,,14.98,,,,,,,,,,['Dune Pearl'],CN,,Stainless Steel,True,Lawrence,MA,1843.0,US,"['jug', 'heritage supply', 'black pearl', 'black', 'dune pearl', 'dune', 'stainless steel', 'trades', 'hydration', 'vacuum insulated', 'leak resistant']",https://gemline.com/s/product/heritage-supply-pro-jug-44-oz/01t6Q0000061K2EQAU,https://images.salsify.com/image/upload/s--sAvYblgZ--/bg9aokas3nwuuuynqt8k.jpg,https://images.salsify.com/image/upload/s--JvFanGQF--/hjjozjcrbgi1psn17s46.jpg,https://images.salsify.com/image/upload/s--BysybS-e--/k1noszaio8qrkkik2hmm.jpg,https://images.salsify.com/image/upload/s--4AmV_No9--/mpncqbqayz9gg92orm54.jpg,,,,,14.98,Heritage Supply Pro Jug - 44 Oz.,Standard,Drinkware,['#E1C699'],,5.5,9.0,5.5,2.5
102766,Put your best foot forward by giving a kit filled with a curated selection of our best-sellers,2025-07-31 16:00:00+00:00,Out of The Woods,http://images.salsify.com/image/upload/s--h77A4lVy--/ith6j5q1nzhcwcai2rbi.jpg,2025-07-17 21:00:00+00:00,2025-04-10 12:00:00+00:00,2025-04-10 12:00:00+00:00,,Gift Sets,6.0,24.0,120.36,25.0,49.0,103.22,50.0,99.0,83.18,100.0,,79.98,['Black'],VN,,Acacia wood,False,Lawrence,MA,1843.0,US,"['Bundle', 'Gift', 'set']",https://gemline.com/s/product/lasting-impression-gift-set-3/01tTN0000089wOMYAY,https://images.salsify.com/image/upload/s--377AYBk9--/by8hwzyn07eqquuxwsek.jpg,https://images.salsify.com/image/upload/s--zFbAcLBy--/g5cx7inpuujqpud2kvws.jpg,https://images.salsify.com/image/upload/s--xKgI_R3v--/hdravuprk2wc2csjncf3.jpg,https://images.salsify.com/image/upload/s--h77A4lVy--/ith6j5q1nzhcwcai2rbi.jpg,https://images.salsify.com/image/upload/s--USt8qK3r--/jhpfh9xktnrw0txd9lgs.jpg,,,,79.98,Lasting Impression Gift Set #3,General,Gifts & Novelty,['#000000'],,17.5,6.0,12.25,
46075,"Keep your essentials right where you need them with this Moleskine tool belt. Designed to slip around your Moleskine notebooks with elastic support in the back. Front pocket fits most smart phones, up to 6"" display.",2025-07-31 16:00:00+00:00,Moleskine,http://images.salsify.com/image/upload/s--0x7aO1jj--/s7momqh7k8yiruwhz5pr.jpg,2025-07-17 21:00:00+00:00,2017-09-01 12:00:00+00:00,2017-09-01 12:00:00+00:00,,Tool Belts,25.0,49.0,30.07,50.0,99.0,25.79,100.0,299.0,20.78,300.0,,19.98,"['Black', 'Slate Grey']",EC,,Polyester,False,Lawrence,MA,1843.0,US,"['moleskine', 'moleskine tool belt', 'tool belt', 'storage', 'notebook accesory', 'accesory', 'accessories', 'on the go', 'on-the-go', 'organization', 'productivity', 'journal', 'notebook', 'moleskin']",https://gemline.com/s/product/moleskine-tool-belt/01t3t00000582YPAAY,https://images.salsify.com/image/upload/s--uPHAE8dm--/k4sp1pb7kh3619tfkau0.jpg,https://images.salsify.com/image/upload/s--55MxxEKH--/knlf9emrk1slfzorxghp.jpg,https://images.salsify.com/image/upload/s--b4P9oE2S--/qn3mywnsiw1mxgsswwkx.jpg,https://images.salsify.com/image/upload/s--frui2y6y--/ruop3yotncmt9wiiv6bx.jpg,https://images.salsify.com/image/upload/s--0x7aO1jj--/s7momqh7k8yiruwhz5pr.jpg,,,,19.98,Moleskine¬Æ Tool Belt,Standard,Home & Outdoor,"['#000000', '#708090']",,,,,
